Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",109.220000,-78.740000,90.000000,top
"C2","10uF","C_0805_2012Metric",142.240000,-85.090000,270.000000,top
"C3","0.1 uF","C_0805_2012Metric",124.460000,-78.740000,180.000000,top
"C4","10 uF","C_0805_2012Metric",146.050000,-85.090000,270.000000,top
"D1","SS210","D_MELF",113.030000,-82.550000,90.000000,top
"D2","green","LED_0805_2012Metric",116.840000,-88.900000,180.000000,top
"D3","yellow","LED_0805_2012Metric",116.840000,-91.440000,180.000000,top
"D4","SS210","D_MELF",135.890000,-78.740000,180.000000,top
"J2","USB_B_Micro","USB_Micro-B_Molex-105017-0001",104.140000,-82.550000,270.000000,top
"Q1","AO4407A","SOIC-8_3.9x4.9mm_P1.27mm",135.890000,-73.660000,0.000000,top
"R1","4.7k","R_0805_2012Metric",113.030000,-91.440000,0.000000,top
"R2","4.7k","R_0805_2012Metric",113.030000,-88.900000,0.000000,top
"R3","3.6k","R_0805_2012Metric",129.540000,-92.075000,0.000000,top
"R4","1.8k","R_0805_2012Metric",121.920000,-82.550000,270.000000,top
"R5","100k","R_0805_2012Metric",129.540000,-88.265000,0.000000,top
"R6","100","R_0805_2012Metric",128.270000,-78.740000,180.000000,top
"U1","TP4056-42-ESOP8","SOP-8_3.9x4.9mm_P1.27mm",123.190000,-91.440000,180.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",136.067800,-84.937600,180.000000,top
"U3","FS312F-G","SOT-23-6",127.000000,-83.820000,0.000000,top
"U4","FS8205A","TSSOP-8_4.4x3mm_P0.65mm",118.110000,-82.550000,90.000000,top
