"Comment","Designator","Footprint","LCSC Part #"
"10uF","C1,C2","C_0805_2012Metric","C15850"
"0.1 uF","C3","C_0805_2012Metric","C1710"
"10 uF","C4","C_0805_2012Metric","C15850"
"SS210","D1,D4","D_MELF","C14996"
"green","D2","LED_0805_2012Metric","C2297"
"yellow","D3","LED_0805_2012Metric","C2296"
"AO4407A","Q1","SOIC-8_3.9x4.9mm_P1.27mm","C16072"
"4.7k","R2,R1","R_0805_2012Metric","C17673"
"3.6k","R3","R_0805_2012Metric","C18359"
"1.8k","R4","R_0805_2012Metric","C17398"
"100k","R5","R_0805_2012Metric","C17407"
"100","R6","R_0805_2012Metric","C17408"
"TP4056-42-ESOP8","U1","SOP-8_3.9x4.9mm_P1.27mm","C16581"
"AMS1117-3.3","U2","SOT-223-3_TabPin2","C6186"
"FS312F-G","U3","SOT-23-6","C14213"
"FS8205A","U4","TSSOP-8_4.4x3mm_P0.65mm","C16052"
